frdepartureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;travelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
64715.0;14884;KEXI-3;-327723573#2;713499.79;5419755.04;27391901;709987.87;5422218.36;235.0;66070.0;1120.0;10105.61;5592.75;-2;65915;66665.19
64934.0;17306;KEXI-3;-26526533#9;711320.42;5422654.25;-27544645#0;708979.33;5423151.95;657.0;65865.0;274.0;2598.98;2598.98;-2;66134;66515.45
66482.0;18374;KEXI-4;-27543676;710688.97;5422681.97;27688060#0;712503.05;5422008.92;159.0;66846.0;205.0;2151.26;2151.26;-2;67682;67993.16
68047.0;15750;KEXI-3;-27100093;710233.12;5422419.28;-26791785#4;712387.77;5420794.23;112.0;68488.0;329.0;3691.75;3517.21;-2;69247;69796.79
70262.0;14350;KEXI-3;-27389654;712503.46;5420876.64;27253744#3;710947.27;5423248.74;124.0;70805.0;419.0;4081.66;4081.66;-2;71462;72049.47
71416.0;18553;KEXI-3;-27544119;710428.72;5422955;26791742#0;711022.57;5421251.45;134.0;71804.0;254.0;2826.25;2826.25;-2;72616;73015.16
72094.0;16623;KEXI-3;202895446#0;712773.7;5420949.55;367435046#2;709968.73;5421840.29;303.0;72732.0;335.0;3285.28;3219.31;-2;73294;73783.15
73031.0;18440;KEXI-3;-27020768#1;710890.01;5421202.58;27689484#1;712642;5421950.61;239.0;73622.0;352.0;3457;3457;-2;74231;74719.52
74372.0;18058;KEXI-4;27687320#0;711168.33;5422506.5;428903527;713339.37;5420955;248.0;74947.0;327.0;6174.05;6174.05;-2;75572;76053.7
74902.0;17712;KEXI-3;-155813244#1;711262.32;5423283.63;376292334#1;710056.43;5421942.35;361.0;75521.0;258.0;2421.52;2421.52;-2;76102;76464.61
75505.0;54;KEXI-4;-485575715#0;712281.75;5420922.74;27391263#2;712280.32;5421121.23;167.0;75729.0;57.0;426.94;426.94;-2;76705;76782.19
76231.0;14058;KEXI-4;27687812#1;712274.43;5422052.72;-27543676;710688.97;5422681.97;238.0;76923.0;454.0;5592.01;2045.68;-2;77431;77734.87
76404.0;17350;KEXI-4;-955794312#3;713534.77;5422015.7;-27544065#0;710510.07;5422669.54;253.0;77013.0;356.0;4447.61;4363.47;-2;77604;77996.59
76842.0;14715;KEXI-4;27215700;710972.28;5422313.85;-26791785#4;712387.77;5420794.23;371.0;77537.0;324.0;2852.61;2678.07;-2;78042;78497.3
78328.0;18154;KEXI-3;27544221#0;709950.17;5422936.24;27182858#0;711496.29;5421159.36;357.0;78982.0;297.0;3343.88;3344.7;-2;79528;79960.93
