date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200712;Thüringen;7.63;5
20200712;Saarland;7.13;0
20200712;Sachsen-Anhalt;7.36;3
20200712;Rheinland-Pfalz;7.75;0
20200712;Schleswig-Holstein;7.01;-1
20200719;Baden-Württemberg;7.67;3
20200719;Hessen;7.32;-2
20200719;Berlin;6.94;-4
20200719;Brandenburg;7.17;5
20200719;Sachsen;7.42;5
20200719;Bayern;7.69;3
20200719;Nordrhein-Westfalen;7.17;2
20200719;Hamburg;6.94;-1
20200719;Mecklenburg-Vorpommern;8.17;10
20200719;Niedersachsen;7.44;1
20200719;Deutschland;7.43;2
20200719;Bremen;7.53;1
20200719;Thüringen;7.73;6
20200719;Saarland;7.11;0
20200719;Sachsen-Anhalt;7.55;6
20200719;Rheinland-Pfalz;7.72;0
20200719;Schleswig-Holstein;7.3;3
20200726;Baden-Württemberg;7.72;4
20200726;Hessen;7.32;-3
20200726;Berlin;6.88;-4
20200726;Brandenburg;7.15;4
20200726;Sachsen;7.3100000000000005;4
20200726;Bayern;7.74;4
20200726;Nordrhein-Westfalen;7.13;2
20200726;Hamburg;6.73;-4
20200726;Mecklenburg-Vorpommern;8.16;10
20200726;Niedersachsen;7.3;-1
20200726;Deutschland;7.4;2
20200726;Bremen;7.28;-2
20200726;Thüringen;7.59;4
20200726;Saarland;7.07;-1
20200726;Sachsen-Anhalt;7.390000000000001;3
20200726;Rheinland-Pfalz;7.74;0
20200726;Schleswig-Holstein;7.140000000000001;1
20200802;Baden-Württemberg;7.75;4
20200802;Hessen;7.3500000000000005;-2
20200802;Berlin;6.97;-3
20200802;Brandenburg;7.21;5
20200802;Sachsen;7.3500000000000005;4
20200802;Bayern;7.72;3
20200802;Nordrhein-Westfalen;7.18;2
20200802;Hamburg;6.96;-1
20200802;Mecklenburg-Vorpommern;8.2;11
20200802;Niedersachsen;7.3100000000000005;-1
20200802;Deutschland;7.43;2
20200802;Bremen;7.33;-2
20200802;Thüringen;7.5600000000000005;4
20200802;Saarland;7.13;0
20200802;Sachsen-Anhalt;7.43;4
20200802;Rheinland-Pfalz;7.73;0
20200802;Schleswig-Holstein;7.28;3
20200809;Baden-Württemberg;7.71;3
20200809;Hessen;7.38;-2
20200809;Berlin;7.15;-1
20200809;Brandenburg;7.32;7
20200809;Sachsen;7.34;4
20200809;Bayern;7.72;3
20200809;Nordrhein-Westfalen;7.29;4
20200809;Hamburg;7.24;3
20200809;Mecklenburg-Vorpommern;8.48;14
20200809;Niedersachsen;7.38;0
20200809;Deutschland;7.49;3
20200809;Bremen;7.47;0
20200809;Thüringen;7.55;3
20200809;Saarland;7.13;0
20200809;Sachsen-Anhalt;7.47;5
20200809;Rheinland-Pfalz;7.73;0
20200809;Schleswig-Holstein;7.5;6
20200816;Baden-Württemberg;7.51;1
20200816;Hessen;7.28;-3
20200816;Berlin;7.22;0
20200816;Brandenburg;7.390000000000001;8
20200816;Sachsen;7.2700000000000005;3
20200816;Bayern;7.54;1
20200816;Nordrhein-Westfalen;7.29;4
20200816;Hamburg;7.18;2
20200816;Mecklenburg-Vorpommern;8.31;12
20200816;Niedersachsen;7.29;-1
20200816;Deutschland;7.41;2
20200816;Bremen;7.34;-1
20200816;Thüringen;7.41;2
20200816;Saarland;7.0600000000000005;-1
20200816;Sachsen-Anhalt;7.3500000000000005;3
20200816;Rheinland-Pfalz;7.65;-1
20200816;Schleswig-Holstein;7.55;6
20200823;Baden-Württemberg;7.46;0
20200823;Hessen;7.54;1
20200823;Berlin;7.15;-1
20200823;Brandenburg;7.4;8
20200823;Sachsen;7.24;3
20200823;Bayern;7.53;1
20200823;Nordrhein-Westfalen;7.42;6
20200823;Hamburg;7.0200000000000005;0
20200823;Mecklenburg-Vorpommern;8.3;12
20200823;Niedersachsen;7.2700000000000005;-2
20200823;Deutschland;7.46;2
20200823;Bremen;7.25;-3
20200823;Thüringen;7.5200000000000005;3
20200823;Saarland;7.44;4
20200823;Sachsen-Anhalt;7.36;3
20200823;Rheinland-Pfalz;7.98;3
20200823;Schleswig-Holstein;7.43;5
20200830;Baden-Württemberg;7.390000000000001;-1
20200830;Hessen;7.66;2
20200830;Berlin;7.3100000000000005;2
20200830;Brandenburg;7.48;9
20200830;Sachsen;7.38;5
20200830;Bayern;7.43;-1
20200830;Nordrhein-Westfalen;7.54;7
20200830;Hamburg;7.22;3
20200830;Mecklenburg-Vorpommern;8.32;12
20200830;Niedersachsen;7.48;1
20200830;Deutschland;7.53;3
20200830;Bremen;7.62;2
20200830;Thüringen;7.62;4
20200830;Saarland;7.53;5
20200830;Sachsen-Anhalt;7.53;5
20200830;Rheinland-Pfalz;8.08;4
20200830;Schleswig-Holstein;7.5200000000000005;6
20200906;Baden-Württemberg;7.61;2
20200906;Hessen;7.65;2
20200906;Berlin;7.23;0
20200906;Brandenburg;7.45;9
20200906;Sachsen;7.53;7
20200906;Bayern;7.59;1
20200906;Nordrhein-Westfalen;7.43;6
20200906;Hamburg;7.16;2
20200906;Mecklenburg-Vorpommern;8.24;11
20200906;Niedersachsen;7.640000000000001;3
20200906;Deutschland;7.58;4
20200906;Bremen;7.72;4
20200906;Thüringen;7.82;7
20200906;Saarland;7.55;6
20200906;Sachsen-Anhalt;7.67;7
20200906;Rheinland-Pfalz;8.08;4
20200906;Schleswig-Holstein;7.51;6
20200913;Baden-Württemberg;7.72;4
20200913;Hessen;7.74;3
20200913;Berlin;7.73;7
20200913;Brandenburg;7.67;12
20200913;Sachsen;7.84;11
20200913;Bayern;7.82;5
20200913;Nordrhein-Westfalen;7.5200000000000005;7
20200913;Hamburg;7.54;7
20200913;Mecklenburg-Vorpommern;8.45;14
20200913;Niedersachsen;7.86;6
20200913;Deutschland;7.76;7
20200913;Bremen;8.01;7
20200913;Thüringen;8.1;11
20200913;Saarland;7.5600000000000005;6
20200913;Sachsen-Anhalt;7.92;11
20200913;Rheinland-Pfalz;8.13;5
20200913;Schleswig-Holstein;7.73;9
20200920;Baden-Württemberg;7.890000000000001;6
20200920;Hessen;7.73;3
20200920;Berlin;7.91;10
20200920;Brandenburg;7.71;13
20200920;Sachsen;7.94;13
20200920;Bayern;7.86;5
20200920;Nordrhein-Westfalen;7.48;7
20200920;Hamburg;7.8500000000000005;12
20200920;Mecklenburg-Vorpommern;8.61;16
20200920;Niedersachsen;7.98;8
20200920;Deutschland;7.83;7
20200920;Bremen;8.26;11
20200920;Thüringen;8.1;11
20200920;Saarland;7.53;5
20200920;Sachsen-Anhalt;8.01;12
20200920;Rheinland-Pfalz;8.13;5
20200920;Schleswig-Holstein;7.96;12
20200927;Baden-Württemberg;7.7;3
20200927;Hessen;7.58;1
20200927;Berlin;7.3;1
20200927;Brandenburg;7.43;9
20200927;Sachsen;7.53;7
20200927;Bayern;7.65;2
20200927;Nordrhein-Westfalen;7.32;4
20200927;Hamburg;7.33;4
20200927;Mecklenburg-Vorpommern;8.24;11
20200927;Niedersachsen;7.63;3
20200927;Deutschland;7.58;4
20200927;Bremen;7.76;4
20200927;Thüringen;7.73;6
20200927;Saarland;7.36;3
20200927;Sachsen-Anhalt;7.72;8
20200927;Rheinland-Pfalz;8.03;4
20200927;Schleswig-Holstein;7.58;7
20201004;Baden-Württemberg;7.65;3
20201004;Hessen;7.53;0
20201004;Berlin;7.25;1
20201004;Brandenburg;7.36;8
