"id","x","y","type"
498,718255,5405201,"building"
499,718255,5405201,"building"
500,718255,5405201,"building"
501,718255,5405201,"building"
502,718255,5405201,"building"
503,718255,5405201,"building"
504,718255,5405201,"building"
505,718255,5405201,"building"
506,718255,5405201,"building"
507,718255,5405201,"building"
508,718255,5405201,"building"
509,718255,5405201,"building"
510,718255,5405201,"building"
511,718455,5405201,"building"
512,718455,5405201,"building"
513,718455,5405201,"building"
514,718455,5405201,"building"
515,718655,5405201,"building"
516,718655,5405201,"building"
517,718655,5405201,"building"
518,718655,5405201,"building"
519,718655,5405201,"building"
520,718655,5405201,"building"
521,718655,5405201,"building"
522,718655,5405201,"building"
523,718655,5405201,"building"
524,718655,5405201,"building"
525,718855,5405201,"building"
526,718855,5405201,"building"
527,718855,5405201,"building"
528,718855,5405201,"building"
529,718855,5405201,"building"
530,718855,5405201,"building"
531,718855,5405201,"building"
532,718855,5405201,"building"
533,718855,5405201,"building"
534,718855,5405201,"building"
535,718855,5405201,"building"
536,718855,5405201,"building"
537,718855,5405201,"building"
538,718855,5405201,"building"
539,718855,5405201,"building"
540,718855,5405201,"building"
541,718855,5405201,"building"
542,718855,5405201,"building"
543,718855,5405201,"building"
544,718855,5405201,"building"
545,718855,5405201,"building"
546,718855,5405201,"building"
547,718855,5405201,"building"
548,721255,5405201,"building"
549,721455,5405201,"building"
550,721455,5405201,"building"
551,721455,5405201,"building"
552,721455,5405201,"building"
553,721455,5405201,"building"
554,721455,5405201,"building"
555,721655,5405201,"building"
556,721655,5405201,"building"
557,721855,5405201,"building"
558,721855,5405201,"building"
559,721855,5405201,"building"
560,721855,5405201,"building"
561,721855,5405201,"building"
562,721855,5405201,"building"
563,721855,5405201,"building"
564,721855,5405201,"building"
565,721855,5405201,"building"
566,721855,5405201,"building"
567,721855,5405201,"building"
568,721855,5405201,"building"
569,721855,5405201,"building"
570,721855,5405201,"building"
571,721855,5405201,"building"
572,722055,5405201,"building"
573,722055,5405201,"building"
574,722055,5405201,"building"
575,722055,5405201,"building"
576,722055,5405201,"building"
577,722055,5405201,"building"
578,722055,5405201,"building"
579,722255,5405201,"building"
580,722255,5405201,"building"
581,722255,5405201,"building"
582,722255,5405201,"building"
583,722255,5405201,"building"
584,722455,5405201,"building"
585,718055,5405401,"building"
586,718055,5405401,"building"
587,718055,5405401,"building"
588,718055,5405401,"building"
589,718055,5405401,"building"
590,718055,5405401,"building"
591,718055,5405401,"building"
592,718055,5405401,"building"
593,718055,5405401,"building"
594,718055,5405401,"building"
595,718055,5405401,"building"
596,718055,5405401,"building"
597,718055,5405401,"building"
598,718055,5405401,"building"
599,718055,5405401,"building"
600,718055,5405401,"building"
601,718055,5405401,"building"
602,718055,5405401,"building"
603,718055,5405401,"building"
604,718055,5405401,"building"
605,718255,5405401,"building"
606,718255,5405401,"building"
607,718255,5405401,"building"
608,718255,5405401,"building"
609,718255,5405401,"building"
610,718255,5405401,"building"
611,718255,5405401,"building"
612,718255,5405401,"building"
613,718255,5405401,"building"
614,718255,5405401,"building"
615,718255,5405401,"building"
616,718255,5405401,"building"
617,718255,5405401,"building"
618,718255,5405401,"building"
619,718255,5405401,"building"
620,718255,5405401,"building"
621,718255,5405401,"building"
622,718255,5405401,"building"
623,718255,5405401,"building"
624,718255,5405401,"building"
625,718255,5405401,"building"
626,718255,5405401,"building"
627,718255,5405401,"building"
628,718255,5405401,"building"
629,718255,5405401,"building"
630,718255,5405401,"building"
631,718255,5405401,"building"
632,718255,5405401,"building"
633,718255,5405401,"building"
634,718255,5405401,"building"
635,718255,5405401,"building"
636,718255,5405401,"building"
637,718255,5405401,"building"
638,718255,5405401,"building"
639,718255,5405401,"building"
640,718255,5405401,"building"
641,718255,5405401,"building"
642,718255,5405401,"building"
643,718255,5405401,"building"
644,718455,5405401,"building"
645,718455,5405401,"building"
646,718455,5405401,"building"
647,718455,5405401,"building"
648,718455,5405401,"building"
649,718455,5405401,"building"
650,718455,5405401,"building"
651,718455,5405401,"building"
652,718455,5405401,"building"
653,718455,5405401,"building"
654,718455,5405401,"building"
655,718455,5405401,"building"
656,718455,5405401,"building"
657,718455,5405401,"building"
658,718455,5405401,"building"
659,718455,5405401,"building"
660,718455,5405401,"building"
661,718455,5405401,"building"
662,718455,5405401,"building"
663,718455,5405401,"building"
664,718455,5405401,"building"
665,718455,5405401,"building"
666,718455,5405401,"building"
667,718455,5405401,"building"
668,718455,5405401,"building"
669,718455,5405401,"building"
670,718455,5405401,"building"
