"id","x","y","type"
523,722055,5405801,"building"
524,722055,5405601,"building"
525,722055,5405401,"building"
526,722055,5405201,"building"
527,722255,5418001,"building"
528,722255,5416401,"building"
529,722255,5415601,"building"
530,722255,5412601,"building"
531,722255,5410401,"building"
532,722255,5410201,"building"
533,722255,5407401,"building"
534,722255,5405201,"building"
535,722455,5416001,"building"
536,722455,5410401,"building"
537,722455,5409401,"building"
538,722455,5409201,"building"
539,722455,5408201,"building"
540,722455,5408001,"building"
541,722455,5405201,"building"
542,722655,5416201,"building"
543,722655,5416001,"building"
544,722655,5415801,"building"
545,722655,5411401,"building"
546,722655,5409801,"building"
547,722655,5409601,"building"
548,722655,5409401,"building"
549,722655,5408401,"building"
550,722655,5408201,"building"
551,722655,5408001,"building"
552,722855,5416201,"building"
553,722855,5416001,"building"
554,722855,5415801,"building"
555,722855,5414201,"building"
556,722855,5412401,"building"
557,722855,5411801,"building"
558,722855,5411401,"building"
559,722855,5410001,"building"
560,722855,5409801,"building"
561,722855,5409601,"building"
562,722855,5408201,"building"
563,723055,5416201,"building"
564,723055,5416001,"building"
565,723055,5414001,"building"
566,723055,5413801,"building"
567,723055,5413601,"building"
568,723055,5412401,"building"
569,723055,5412201,"building"
570,723055,5412001,"building"
571,723055,5411601,"building"
572,723055,5411401,"building"
573,723055,5410601,"building"
574,723055,5409001,"building"
575,723055,5408801,"building"
576,723055,5408201,"building"
577,723255,5416401,"building"
578,723255,5416201,"building"
579,723255,5416001,"building"
580,723255,5415801,"building"
581,723255,5414001,"building"
582,723255,5413801,"building"
583,723255,5413601,"building"
584,723255,5413401,"building"
585,723255,5413201,"building"
586,723255,5412401,"building"
587,723255,5412201,"building"
588,723255,5412001,"building"
589,723255,5411801,"building"
590,723255,5411601,"building"
591,723255,5411401,"building"
592,723255,5411201,"building"
593,723255,5411001,"building"
594,723255,5410801,"building"
595,723255,5410601,"building"
596,723255,5409001,"building"
597,723255,5408801,"building"
598,723455,5416401,"building"
599,723455,5416201,"building"
600,723455,5416001,"building"
601,723455,5414001,"building"
602,723455,5413801,"building"
603,723455,5413601,"building"
604,723455,5413401,"building"
605,723455,5413201,"building"
606,723455,5413001,"building"
607,723455,5412801,"building"
608,723455,5412601,"building"
609,723455,5412401,"building"
610,723455,5412201,"building"
611,723455,5412001,"building"
612,723455,5411801,"building"
613,723455,5411601,"building"
614,723455,5411401,"building"
615,723455,5411201,"building"
616,723455,5410401,"building"
617,723455,5410201,"building"
618,723455,5409801,"building"
619,723655,5416401,"building"
620,723655,5416201,"building"
621,723655,5413201,"building"
622,723655,5413001,"building"
623,723655,5412801,"building"
624,723655,5412601,"building"
625,723655,5412401,"building"
626,723655,5412201,"building"
627,723655,5412001,"building"
628,723655,5411801,"building"
629,723655,5411601,"building"
630,723655,5411401,"building"
631,723655,5411201,"building"
632,723655,5411001,"building"
633,723655,5410401,"building"
634,723655,5410201,"building"
635,723655,5410001,"building"
636,723655,5409801,"building"
637,723655,5407201,"building"
638,723655,5406201,"building"
639,723655,5406001,"building"
640,723855,5416401,"building"
641,723855,5416201,"building"
642,723855,5414401,"building"
643,723855,5413601,"building"
644,723855,5413401,"building"
645,723855,5413201,"building"
646,723855,5413001,"building"
647,723855,5412801,"building"
648,723855,5412601,"building"
649,723855,5412401,"building"
650,723855,5412201,"building"
651,723855,5412001,"building"
652,723855,5411801,"building"
653,723855,5411601,"building"
654,723855,5411201,"building"
655,723855,5411001,"building"
656,723855,5410801,"building"
657,723855,5410401,"building"
658,723855,5410201,"building"
659,723855,5410001,"building"
660,723855,5409801,"building"
661,723855,5407201,"building"
662,723855,5406201,"building"
663,723855,5406001,"building"
664,724055,5416401,"building"
665,724055,5414401,"building"
666,724055,5414201,"building"
667,724055,5414001,"building"
668,724055,5413601,"building"
669,724055,5413401,"building"
670,724055,5413201,"building"
671,724055,5413001,"building"
672,724055,5412801,"building"
673,724055,5412601,"building"
674,724055,5412401,"building"
675,724055,5412201,"building"
676,724055,5412001,"building"
677,724055,5411801,"building"
678,724055,5410601,"building"
679,724055,5410401,"building"
680,724055,5410201,"building"
681,724055,5410001,"building"
682,724055,5409801,"building"
683,724255,5413201,"building"
684,724255,5413001,"building"
685,724255,5412801,"building"
686,724255,5412601,"building"
687,724255,5412401,"building"
688,724255,5412201,"building"
689,724255,5412001,"building"
690,724255,5410601,"building"
691,724255,5410401,"building"
692,724255,5410201,"building"
693,724255,5405601,"building"
694,724455,5413401,"building"
695,724455,5413201,"building"
696,724455,5413001,"building"
697,724455,5412801,"building"
698,724455,5412601,"building"
699,724455,5412401,"building"
700,724455,5410001,"building"
701,724455,5405601,"building"
702,724655,5413001,"building"
703,724655,5412801,"building"
704,724655,5412601,"building"
705,724655,5412401,"building"
706,724855,5415801,"building"
707,724855,5415601,"building"
708,724855,5415401,"building"
709,724855,5415201,"building"
710,724855,5412601,"building"
711,724855,5410001,"building"
712,724855,5409801,"building"
713,724855,5409001,"building"
714,724855,5408801,"building"
715,724855,5408601,"building"
716,724855,5408401,"building"
717,724855,5407001,"building"
718,724855,5406801,"building"
719,725055,5418201,"building"
720,725055,5418001,"building"
721,725055,5416001,"building"
722,725055,5415601,"building"
723,725055,5415401,"building"
724,725055,5415201,"building"
725,725055,5415001,"building"
726,725055,5414601,"building"
727,725055,5412801,"building"
728,725055,5412601,"building"
729,725055,5410201,"building"
730,725055,5410001,"building"
731,725055,5409001,"building"
732,725055,5408801,"building"
733,725055,5408601,"building"
734,725055,5407201,"building"
735,725055,5407001,"building"
736,725055,5406801,"building"
737,725255,5418201,"building"
