accessStopId;accessLinkId;egressStopId;egressLinkId;queryCount
60;-52118564#0;126;-125690144;4
602;-39180912#3;126;-125690144;1
603;-367429064#5;126;-125690144;1
608;-640236933#2;126;-125690144;1
61;-31453870;126;-125690144;5
611;-24672652#1;126;-125690144;1
612;-24672671#2;126;-125690144;2
617;-24644628#1;126;-125690144;1
618;-24644717#1;126;-125690144;1
62;-210191119#1;126;-125690144;14
621;-640236933#0;126;-125690144;1
622;-102597688;126;-125690144;2
623;-39198309;126;-125690144;5
624;-39198276;126;-125690144;3
625;-39198301#0;126;-125690144;1
626;-39198297;126;-125690144;1
627;-39198297;126;-125690144;2
629;-39198238#3;126;-125690144;3
63;-495847113#3;126;-125690144;4
631;-39198247#3;126;-125690144;1
632;-39198248;126;-125690144;1
634;-26735814;126;-125690144;2
635;-935032089;126;-125690144;5
636;-35818300#0;126;-125690144;1
637;-39928255;126;-125690144;18
639;-50865799#1;126;-125690144;2
64;-31453870;126;-125690144;1
640;-35818276#0;126;-125690144;2
641;-140042064#1;126;-125690144;5
642;-35818290#1;126;-125690144;1
645;-35818298;126;-125690144;3
646;-35818259#0;126;-125690144;9
648;-485508797#1;126;-125690144;1
65;-31453870;126;-125690144;2
650;-35818278#3;126;-125690144;1
651;-35818281#1;126;-125690144;1
653;-35818284;126;-125690144;5
656;-50002648#0;126;-125690144;5
657;-101835943#1;126;-125690144;5
658;-101835943#1;126;-125690144;3
659;-80716026#3;126;-125690144;5
66;-31453870;126;-125690144;1
660;-39181592#0;126;-125690144;1
661;-39199240;126;-125690144;1
662;-39199240;126;-125690144;1
664;-39186641#1;126;-125690144;1
666;-39184297#0;126;-125690144;1
667;-39181603#1;126;-125690144;1
668;-39181601;126;-125690144;1
67;-495026126#0;126;-125690144;3
679;-392474781#1;126;-125690144;1
68;-90148195#0;126;-125690144;11
683;-40931183#2;126;-125690144;1
684;-246684702#3;126;-125690144;1
686;-24054542#1;126;-125690144;4
687;-367429061;126;-125690144;2
688;-246684702#0;126;-125690144;3
689;-102221393;126;-125690144;1
69;-90256597#0;126;-125690144;31
690;-246684702#0;126;-125690144;2
695;-32702545;126;-125690144;2
697;-438239535#0;126;-125690144;2
698;-39207244;126;-125690144;4
699;-25026146#2;126;-125690144;1
7;-30228197#1;126;-125690144;6
70;-538365364;126;-125690144;49
700;-485508773#2;126;-125690144;1
701;-24786429#0;126;-125690144;1
706;-39179203#1;126;-125690144;1
707;-25026188#5;126;-125690144;1
71;-327752478;126;-125690144;20
716;-102221405#1;126;-125690144;1
718;-36523534#1;126;-125690144;1
719;-36523544#2;126;-125690144;1
72;-90113872#0;126;-125690144;7
722;-140288134;126;-125690144;1
724;-485575723#0;126;-125690144;1
728;-160584571;126;-125690144;1
73;-494998160;126;-125690144;1
732;-35013983#3;126;-125690144;1
737;-81406722#1;126;-125690144;1
738;-35013975;126;-125690144;8
739;-290409166#0;126;-125690144;4
74;-137387706#1;126;-125690144;6
740;-35013966#0;126;-125690144;7
741;-35869470#1;126;-125690144;2
742;-35823182#1;126;-125690144;5
743;-33179212;126;-125690144;4
744;-35823792;126;-125690144;4
745;-25383156#2;126;-125690144;3
746;-35823790;126;-125690144;3
747;-25383156#2;126;-125690144;2
748;-34870190;126;-125690144;4
749;-34870189#0;126;-125690144;5
750;-35823777;126;-125690144;3
751;-4475588#0;126;-125690144;3
752;-111092922;126;-125690144;6
753;-35214790#1;126;-125690144;5
754;-415290854;126;-125690144;1
755;-415290862;126;-125690144;2
756;-111092911#0;126;-125690144;4
757;-796958142#2;126;-125690144;1
758;-35214794#0;126;-125690144;2
759;-34870192#2;126;-125690144;2
76;-367435046#2;126;-125690144;12
760;-485926494;126;-125690144;4
761;-34850934;126;-125690144;1
762;-35013962;126;-125690144;1
763;-485926496;126;-125690144;1
764;-485926495;126;-125690144;5
765;-486848043#1;126;-125690144;2
766;-35013964#0;126;-125690144;7
767;-35013970#1;126;-125690144;5
768;-38281706;126;-125690144;5
769;-34697993#1;126;-125690144;1
770;-796958142#0;126;-125690144;2
771;-35200437#1;126;-125690144;3
772;-81239053#0;126;-125690144;5
773;-38754111;126;-125690144;4
774;-35200436#1;126;-125690144;2
775;-34870199#1;126;-125690144;4
776;-34870200#0;126;-125690144;1
777;-986012536;126;-125690144;4
778;-38569471#0;126;-125690144;3
779;-38569470#1;126;-125690144;5
780;-986012533;126;-125690144;1
781;-144208958#1;126;-125690144;4
782;-35200439#1;126;-125690144;2
783;-38281692;126;-125690144;2
784;-38281692;126;-125690144;3
785;-55741203#1;126;-125690144;4
786;-35013976;126;-125690144;6
787;-35823846#4;126;-125690144;5
788;-38281711#2;126;-125690144;8
789;-120162934#2;126;-125690144;5
790;-35823800;126;-125690144;2
791;-35823800;126;-125690144;5
792;-35823800;126;-125690144;5
793;-35823806;126;-125690144;4
794;-35823805#0;126;-125690144;3
795;-120162932#2;126;-125690144;4
796;-35823841#0;126;-125690144;10
797;-35823812#1;126;-125690144;9
798;-35823810;126;-125690144;8
799;-136121913;126;-125690144;6
8;-63530360#1;126;-125690144;13
80;-337954601#0;126;-125690144;1
800;-93772083#2;126;-125690144;3
801;-48766054#2;126;-125690144;3
802;-48766055;126;-125690144;6
803;-54446132#0;126;-125690144;3
804;-54107882;126;-125690144;3
805;-34091179#4;126;-125690144;6
806;-308788743;126;-125690144;5
807;-78352245;126;-125690144;8
808;-488050380;126;-125690144;10
809;-35823822#1;126;-125690144;9
81;-29073756#2;126;-125690144;4
810;-488516537;126;-125690144;5
811;-488516534;126;-125690144;6
812;-212042103;126;-125690144;10
813;-32953964#0;126;-125690144;6
814;-32906588;126;-125690144;6
815;-35823831#0;126;-125690144;20
816;484337479;126;-125690144;12
817;-31963736;126;-125690144;3
818;-35165130#1;126;-125690144;3
819;-152378859;126;-125690144;9
82;-145393541;126;-125690144;7
820;-484247179;126;-125690144;3
821;-746998595;126;-125690144;8
822;-367807853;126;-125690144;6
823;-484247183;126;-125690144;6
824;-38379334#1;126;-125690144;6
825;-104367022#3;126;-125690144;8
828;-24989072#0;126;-125690144;4
829;-154758445;126;-125690144;3
83;-30965811#3;126;-125690144;6
830;-24700615#0;126;-125690144;3
831;-154758445;126;-125690144;1
832;-24700615#0;126;-125690144;1
833;-144162329;126;-125690144;1
834;-872644904;126;-125690144;2
835;-986012523;126;-125690144;1
84;-124903985#1;126;-125690144;3
840;-68543362;126;-125690144;8
841;-484210998#1;126;-125690144;2
842;-24988349#3;126;-125690144;4
843;-199800832#3;126;-125690144;10
844;-199800832#0;126;-125690144;9
845;-120080440#3;126;-125690144;6
846;-484393111#0;126;-125690144;3
847;-24989206;126;-125690144;2
848;-24989206;126;-125690144;4
849;-199907861#1;126;-125690144;2
85;-137387684;126;-125690144;5
850;-120176533#1;126;-125690144;7
851;-66692825;126;-125690144;9
852;-484211004;126;-125690144;12
853;-24989074#0;126;-125690144;11
854;-154370089;126;-125690144;5
855;-144444032#1;126;-125690144;10
856;-308808822;126;-125690144;10
857;-154505592;126;-125690144;20
858;-29257620;126;-125690144;14
859;-81390855#0;126;-125690144;13
86;-137387703#4;126;-125690144;31
860;-81390855#1;126;-125690144;27
861;-485703094;126;-125690144;7
862;-150603215#3;126;-125690144;12
863;-142489332#0;126;-125690144;38
864;-127964160;126;-125690144;18
865;-295732688;126;-125690144;11
866;-295732673#3;126;-125690144;10
867;-142695926;126;-125690144;2
868;-485703678;126;-125690144;4
869;-37810965#1;126;-125690144;8
87;-137387703#2;126;-125690144;10
870;-144443902;126;-125690144;8
871;-144443785#0;126;-125690144;7
872;-111347764#0;126;-125690144;4
873;-29258084#5;126;-125690144;7
874;-29258084#0;126;-125690144;5
875;-986170777#0;126;-125690144;11
876;-169445351#1;126;-125690144;8
877;-24989072#1;126;-125690144;4
878;-61670775;126;-125690144;7
88;-495034972#3;126;-125690144;1
880;-872644900#1;126;-125690144;1
881;-104367025;126;-125690144;3
883;-144162414#1;126;-125690144;1
886;-144209076#1;126;-125690144;2
887;-294561132#3;126;-125690144;2
888;-24233859#0;126;-125690144;1
889;-144209069#1;126;-125690144;2
89;-539504869;126;-125690144;1
891;-144209065#0;126;-125690144;1
892;-144209071#1;126;-125690144;1
893;-288962870#1;126;-125690144;1
896;-81406712#4;126;-125690144;1
899;-222511689;126;-125690144;1
9;-64300828#1;126;-125690144;24
90;-88706412#0;126;-125690144;3
901;-144162374#3;126;-125690144;2
903;-24704414#3;126;-125690144;1
905;-87355087#2;126;-125690144;1
908;-155607287#1;126;-125690144;1
909;-213496108#1;126;-125690144;1
91;-26800731#0;126;-125690144;8
913;-155610981#0;126;-125690144;2
915;-144162343;126;-125690144;1
916;-24704395#0;126;-125690144;1
919;228406790#0;126;-125690144;1
92;-27091597#6;126;-125690144;11
924;-288903454;126;-125690144;1
929;-872644907;126;-125690144;1
93;-346364627;126;-125690144;24
930;-220606159;126;-125690144;2
932;-747060859;126;-125690144;2
935;-24720781#0;126;-125690144;1
937;-24720777#0;126;-125690144;1
939;-152294069#1;126;-125690144;1
94;-34182092;126;-125690144;1
942;-857021589#1;126;-125690144;1
945;-24720751#2;126;-125690144;1
947;-24720785;126;-125690144;1
95;-956034523#2;126;-125690144;3
951;-223311714;126;-125690144;1
96;-956034523#1;126;-125690144;5
960;-24704369#0;126;-125690144;3
961;-24704371#4;126;-125690144;1
963;-144444176#1;126;-125690144;3
964;-154027902#0;126;-125690144;1
966;-104367028#0;126;-125690144;1
967;-144444093#2;126;-125690144;4
97;-835543178;126;-125690144;7
98;-952339840;126;-125690144;26
99;-77518500;126;-125690144;28
