linkId;population;weight
-488516534;1;2.355435166647038E-5
-212042103;4;9.421740666588152E-5
-32953964#0;3;7.066305499941114E-5
-32906588;5;1.177717583323519E-4
-35823831#0;25;5.888587916617595E-4
484337479;138;0.0032505005299729127
-31963736;89;0.002096337298315864
-35165130#1;72;0.0016959133199858673
-152378859;24;5.653044399952891E-4
-145393541;414;0.009751501589918738
-484247179;72;0.0016959133199858673
-746998595;49;0.0011541632316570487
-367807853;100;0.002355435166647038
-484247183;2;4.710870333294076E-5
-38379334#1;59;0.0013897067483217525
-104367022#3;17;4.0042397832999645E-4
-42425735;413;0.009727947238252268
-42109876;691;0.016276057001531032
-24989072#0;10;2.355435166647038E-4
-154758445;4;9.421740666588152E-5
-30965811#3;22;5.181957366623484E-4
-24700615#0;4;9.421740666588152E-5
-144162329;6;1.4132610999882227E-4
-872644904;8;1.8843481333176304E-4
-986012523;2;4.710870333294076E-5
-484393129;14;3.2976092333058534E-4
-282789772#1;10;2.355435166647038E-4
-415287551#0;42;9.89282769991756E-4
-415306248;37;8.715110116594041E-4
-124903985#1;32;7.537392533270522E-4
-68543362;529;0.012460252031562832
-484210998#1;20;4.710870333294076E-4
-24988349#3;30;7.066305499941114E-4
-199800832#3;28;6.595218466611707E-4
-199800832#0;96;0.0022612177599811564
-120080440#3;45;0.001059945824991167
-484393111#0;15;3.533152749970557E-4
-24989206;2;4.710870333294076E-5
-199907861#1;3;7.066305499941114E-5
-137387684;14;3.2976092333058534E-4
-120176533#1;4;9.421740666588152E-5
-66692825;60;0.0014132610999882229
-484211004;34;8.008479566599929E-4
-24989074#0;4;9.421740666588152E-5
-154370089;4;9.421740666588152E-5
-144444032#1;0;0.0
-308808822;2;4.710870333294076E-5
-154505592;18;4.239783299964668E-4
-29257620;1;2.355435166647038E-5
-81390855#0;25;5.888587916617595E-4
-137387703#4;4;9.421740666588152E-5
-81390855#1;3;7.066305499941114E-5
-485703094;3;7.066305499941114E-5
-150603215#3;59;0.0013897067483217525
-142489332#0;11;2.590978683311742E-4
-127964160;432;0.010175479919915204
-295732688;171;0.004027794134966435
-295732673#3;114;0.0026851960899776234
-142695926;57;0.0013425980449888117
-485703678;43;0.0010128371216582264
-37810965#1;23;5.417500883288188E-4
-137387703#2;6;1.4132610999882227E-4
-144443902;3;7.066305499941114E-5
-144443785#0;9;2.119891649982334E-4
-111347764#0;72;0.0016959133199858673
-29258084#5;22;5.181957366623484E-4
-29258084#0;36;8.479566599929336E-4
-986170777#0;16;3.768696266635261E-4
-169445351#1;19;4.4753268166293725E-4
-24989072#1;0;0.0
-61670775;3;7.066305499941114E-5
-104367027;2;4.710870333294076E-5
-495034972#3;15;3.533152749970557E-4
-872644900#1;2;4.710870333294076E-5
-104367025;4;9.421740666588152E-5
-144162422#1;9;2.119891649982334E-4
-144162414#1;16;3.768696266635261E-4
-144208921;23;5.417500883288188E-4
-144208931;37;8.715110116594041E-4
-144209076#1;19;4.4753268166293725E-4
-294561132#3;46;0.0010835001766576376
-24233859#0;22;5.181957366623484E-4
-144209069#1;17;4.0042397832999645E-4
-539504869;44;0.0010363914733246967
-35013983#1;23;5.417500883288188E-4
-144209065#0;22;5.181957366623484E-4
-144209071#1;27;6.359674949947003E-4
-288962870#1;29;6.83076198327641E-4
-144162303;15;3.533152749970557E-4
-168429927;35;8.244023083264633E-4
-81406712#4;38;8.950653633258745E-4
-144162395#1;22;5.181957366623484E-4
-24704419#0;59;0.0013897067483217525
-222511689;37;8.715110116594041E-4
-64300828#1;134;0.003156283123307031
-88706412#0;10;2.355435166647038E-4
-144162418#2;40;9.421740666588152E-4
-144162374#3;19;4.4753268166293725E-4
-24704417;59;0.0013897067483217525
-24704414#3;29;6.83076198327641E-4
-24704418#0;78;0.0018372394299846896
-87355087#2;50;0.001177717583323519
-24704410#2;70;0.0016488046166529267
-156838374;57;0.0013425980449888117
-155607287#1;46;0.0010835001766576376
-213496108#1;41;9.657284183252856E-4
-26800731#0;2;4.710870333294076E-5
-24720806#2;26;6.124131433282298E-4
-228543051;42;9.89282769991756E-4
-24720807;60;0.0014132610999882229
-155610981#0;27;6.359674949947003E-4
-24720810;55;0.0012954893416558708
-144162343;26;6.124131433282298E-4
-24704395#0;57;0.0013425980449888117
-24704393#0;43;0.0010128371216582264
-143436316#1;46;0.0010835001766576376
228406790#0;55;0.0012954893416558708
-27091597#6;57;0.0013425980449888117
-143436281#0;75;0.0017665763749852785
-34135085;43;0.0010128371216582264
-288903447#1;38;8.950653633258745E-4
-228391044#0;45;0.001059945824991167
-288903454;11;2.590978683311742E-4
-288903448#1;40;9.421740666588152E-4
-144162382;68;0.0016016959133199858
-8380384#2;41;9.657284183252856E-4
-872644901;5;1.177717583323519E-4
-872644907;5;1.177717583323519E-4
-346364627;2;4.710870333294076E-5
-220606159;3;7.066305499941114E-5
365298401#0;4;9.421740666588152E-5
-747060859;2;4.710870333294076E-5
-155045708;1;2.355435166647038E-5
-144162312;24;5.653044399952891E-4
-24720781#0;29;6.83076198327641E-4
-282789771;48;0.0011306088799905782
-24720777#0;64;0.0015074785066541043
-222325185#4;34;8.008479566599929E-4
-152294069#1;60;0.0014132610999882229
-34182092;3;7.066305499941114E-5
-281844519#2;51;0.0012012719349899894
-144162336;61;0.0014368154516546932
-857021589#1;8;1.8843481333176304E-4
-24720747#13;97;0.002284772111647627
-152294068#0;43;0.0010128371216582264
-24720751#2;51;0.0012012719349899894
-24720752#0;34;8.008479566599929E-4
-24720785;42;9.89282769991756E-4
-24704380;40;9.421740666588152E-4
-24704378#2;2;4.710870333294076E-5
-956034523#2;145;0.003415380991638205
-24704377#0;51;0.0012012719349899894
-223311714;44;0.0010363914733246967
-282104180#1;34;8.008479566599929E-4
-415302127#0;9;2.119891649982334E-4
-282789765#0;25;5.888587916617595E-4
-24720793;13;3.062065716641149E-4
-24720792#0;46;0.0010835001766576376
-61670797#1;77;0.0018136850783182193
-24704370#2;31;7.301849016605817E-4
-956034523#1;26;6.124131433282298E-4
-24704369#0;15;3.533152749970557E-4
-24704371#4;28;6.595218466611707E-4
-144162287#2;10;2.355435166647038E-4
-144444176#1;11;2.590978683311742E-4
-154027902#0;21;4.94641384995878E-4
-144444093#1;10;2.355435166647038E-4
-104367028#0;1;2.355435166647038E-5
-144444093#2;8;1.8843481333176304E-4
-835543178;6;1.4132610999882227E-4
-952339840;4;9.421740666588152E-5
-77518500;1;2.355435166647038E-5
