linkId;population;weight
-367429060;7;1.6488046166529267E-4
-24691217;7;1.6488046166529267E-4
-24634224;5;1.177717583323519E-4
26735808;34;8.008479566599929E-4
-776830638;14;3.2976092333058534E-4
-245778554;6;1.4132610999882227E-4
-52118564#0;251;0.0059121422682840655
-367429064#1;29;6.83076198327641E-4
-39180912#3;48;0.0011306088799905782
-367429064#5;37;8.715110116594041E-4
-24621793;31;7.301849016605817E-4
-24622113;17;4.0042397832999645E-4
-24622012#1;28;6.595218466611707E-4
-24644961;8;1.8843481333176304E-4
-640236933#2;23;5.417500883288188E-4
-24672433;9;2.119891649982334E-4
-31453870;23;5.417500883288188E-4
-125063601;8;1.8843481333176304E-4
-24672652#1;19;4.4753268166293725E-4
-24672671#2;8;1.8843481333176304E-4
-137570975#0;9;2.119891649982334E-4
-24672671#1;22;5.181957366623484E-4
-24672469#1;30;7.066305499941114E-4
-24644646#1;24;5.653044399952891E-4
-24644628#1;19;4.4753268166293725E-4
-24644717#1;21;4.94641384995878E-4
-24672460#1;33;7.772936049935226E-4
-210191119#1;31;7.301849016605817E-4
-24672479#1;14;3.2976092333058534E-4
-640236933#0;3;7.066305499941114E-5
-102597688;2;4.710870333294076E-5
-39198309;3;7.066305499941114E-5
-39198276;2;4.710870333294076E-5
-39198301#0;10;2.355435166647038E-4
-39198297;9;2.119891649982334E-4
-39198238#1;24;5.653044399952891E-4
-39198238#3;31;7.301849016605817E-4
-495847113#3;23;5.417500883288188E-4
-39198250#3;41;9.657284183252856E-4
-39198247#3;34;8.008479566599929E-4
-39198248;15;3.533152749970557E-4
-107602692#1;21;4.94641384995878E-4
-26735814;0;0.0
-935032089;1;2.355435166647038E-5
-35818300#0;7;1.6488046166529267E-4
-39928255;10;2.355435166647038E-4
-35818297#1;13;3.062065716641149E-4
-50865799#1;16;3.768696266635261E-4
-35818276#0;6;1.4132610999882227E-4
-140042064#1;16;3.768696266635261E-4
-35818290#1;8;1.8843481333176304E-4
-35818276#1;12;2.8265221999764455E-4
-140042059;14;3.2976092333058534E-4
-35818298;23;5.417500883288188E-4
-35818259#0;16;3.768696266635261E-4
-485508797#1;14;3.2976092333058534E-4
-35818289#0;17;4.0042397832999645E-4
-35818278#3;21;4.94641384995878E-4
-35818281#1;19;4.4753268166293725E-4
-35818261#3;38;8.950653633258745E-4
-35818284;10;2.355435166647038E-4
-35818258#1;23;5.417500883288188E-4
-39181595#2;19;4.4753268166293725E-4
-50002648#0;7;1.6488046166529267E-4
-101835943#1;1;2.355435166647038E-5
-80716026#3;0;0.0
-39181592#0;13;3.062065716641149E-4
-39199240;2;4.710870333294076E-5
-39184299#0;9;2.119891649982334E-4
-39186641#1;1;2.355435166647038E-5
-39184299#1;17;4.0042397832999645E-4
-39184297#0;28;6.595218466611707E-4
-39181603#1;20;4.710870333294076E-4
-39181601;12;2.8265221999764455E-4
-39181595#0;28;6.595218466611707E-4
-495026126#0;4;9.421740666588152E-5
-438279862;43;0.0010128371216582264
-24786362#3;31;7.301849016605817E-4
-438279878;31;7.301849016605817E-4
-39186627;10;2.355435166647038E-4
-84679439#0;11;2.590978683311742E-4
-39184313#0;32;7.537392533270522E-4
-39184309#1;18;4.239783299964668E-4
-39186625#0;14;3.2976092333058534E-4
-107602690#0;9;2.119891649982334E-4
-392474781#1;31;7.301849016605817E-4
-90148195#0;22;5.181957366623484E-4
-24786362#1;11;2.590978683311742E-4
-392474779#0;42;9.89282769991756E-4
-961410940;17;4.0042397832999645E-4
-40931183#2;12;2.8265221999764455E-4
-246684702#3;12;2.8265221999764455E-4
-24054542#3;16;3.768696266635261E-4
-24054542#1;7;1.6488046166529267E-4
-367429061;0;0.0
-246684702#0;4;9.421740666588152E-5
-102221393;9;2.119891649982334E-4
-90256597#0;8;1.8843481333176304E-4
-39207242#1;2;4.710870333294076E-5
-32702545;39;9.186197149923448E-4
-39207105;47;0.0011070545283241079
-438239535#0;1;2.355435166647038E-5
-39207244;7;1.6488046166529267E-4
-25026146#2;14;3.2976092333058534E-4
-30228197#1;129;0.003038511364974679
-538365364;31;7.301849016605817E-4
-485508773#2;16;3.768696266635261E-4
-24786429#0;16;3.768696266635261E-4
-25026184#2;44;0.0010363914733246967
-142273683;31;7.301849016605817E-4
-25026188#0;33;7.772936049935226E-4
-39179203#1;28;6.595218466611707E-4
-25026188#5;48;0.0011306088799905782
-394354621#0;46;0.0010835001766576376
-395860460#0;32;7.537392533270522E-4
-327752478;0;0.0
-39179178#2;42;9.89282769991756E-4
-39179199#7;50;0.001177717583323519
-402928307#1;72;0.0016959133199858673
-24786429#1;44;0.0010363914733246967
-39179178#7;22;5.181957366623484E-4
-39181541#1;19;4.4753268166293725E-4
-102221405#1;27;6.359674949947003E-4
-36523530#1;45;0.001059945824991167
-36523534#1;55;0.0012954893416558708
-36523544#2;37;8.715110116594041E-4
-90113872#0;41;9.657284183252856E-4
-31671827#1;20;4.710870333294076E-4
-485508776#0;38;8.950653633258745E-4
-140288134;45;0.001059945824991167
-39179163;44;0.0010363914733246967
-485575723#0;41;9.657284183252856E-4
-490549209;35;8.244023083264633E-4
-227632108#1;25;5.888587916617595E-4
-490548753;41;9.657284183252856E-4
-160584571;49;0.0011541632316570487
-140559129#1;26;6.124131433282298E-4
-494998160;66;0.0015545872099870452
-25026218#0;36;8.479566599929336E-4
-39179155#0;24;5.653044399952891E-4
-35013983#3;11;2.590978683311742E-4
-486848034#2;37;8.715110116594041E-4
-986012528;29;6.83076198327641E-4
-81410372#4;28;6.595218466611707E-4
-170193164#3;9;2.119891649982334E-4
-81406722#1;14;3.2976092333058534E-4
-35013975;6;1.4132610999882227E-4
-290409166#0;4;9.421740666588152E-5
-137387706#1;46;0.0010835001766576376
-35013966#0;2;4.710870333294076E-5
-35869470#1;5;1.177717583323519E-4
-35823182#1;4;9.421740666588152E-5
-33179212;11;2.590978683311742E-4
-35823792;1;2.355435166647038E-5
-25383156#2;108;0.002543869979978801
-35823790;5;1.177717583323519E-4
-34870190;5;1.177717583323519E-4
-34870189#0;445;0.01048168649157932
-35823777;1;2.355435166647038E-5
-4475588#0;13;3.062065716641149E-4
-111092922;10;2.355435166647038E-4
-35214790#1;356;0.008385349193263456
-415290854;63;0.001483924154987634
-415290862;20;4.710870333294076E-4
-111092911#0;11;2.590978683311742E-4
-796958142#2;5;1.177717583323519E-4
-35214794#0;18;4.239783299964668E-4
-34870192#2;75;0.0017665763749852785
-367435046#2;25;5.888587916617595E-4
-485926494;6;1.4132610999882227E-4
-34850934;14;3.2976092333058534E-4
-35013962;4;9.421740666588152E-5
-485926496;15;3.533152749970557E-4
-485926495;5;1.177717583323519E-4
-486848043#1;48;0.0011306088799905782
-35013964#0;2;4.710870333294076E-5
-35013970#1;8;1.8843481333176304E-4
-38281706;7;1.6488046166529267E-4
-34697993#1;1;2.355435166647038E-5
-796958142#0;0;0.0
-35200437#1;48;0.0011306088799905782
-81239053#0;32;7.537392533270522E-4
-38754111;0;0.0
-35200436#1;1;2.355435166647038E-5
-34870199#1;5;1.177717583323519E-4
-34870200#0;274;0.006453892356612884
-986012536;8;1.8843481333176304E-4
-38569471#0;2;4.710870333294076E-5
-38569470#1;31;7.301849016605817E-4
-986012533;6;1.4132610999882227E-4
-144208958#1;0;0.0
-35200439#1;9;2.119891649982334E-4
-38281692;5;1.177717583323519E-4
-55741203#1;17;4.0042397832999645E-4
-35013976;0;0.0
-35823846#4;57;0.0013425980449888117
-38281711#2;13;3.062065716641149E-4
-120162934#2;35;8.244023083264633E-4
-35823800;30;7.066305499941114E-4
-35823806;4;9.421740666588152E-5
-35823805#0;0;0.0
-120162932#2;24;5.653044399952891E-4
-35823841#0;20;4.710870333294076E-4
-35823812#1;12;2.8265221999764455E-4
-35823810;5;1.177717583323519E-4
-136121913;1;2.355435166647038E-5
-63530360#1;12;2.8265221999764455E-4
-337954601#0;173;0.004074902838299376
-93772083#2;174;0.004098457189965846
-48766054#2;59;0.0013897067483217525
-48766055;93;0.0021905547049817452
-54446132#0;54;0.0012719349899894005
-54107882;8;1.8843481333176304E-4
-34091179#4;0;0.0
-308788743;11;2.590978683311742E-4
-78352245;30;7.066305499941114E-4
-488050380;9;2.119891649982334E-4
-35823822#1;20;4.710870333294076E-4
-29073756#2;25;5.888587916617595E-4
-488516537;22;5.181957366623484E-4
